Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,GST (%),Tax,Total,Gross Income,Payment,Rating,Date,Day of Week
INV00030,B,Hyderabad,Normal,Male,Electronic accessories,34.34,8,18,49.45,274.72,324.17,Ewallet,8.2,1/13/2025,Monday
INV00031,A,Pune,Member,Male,Electronic accessories,18.62,8,18,26.81,148.96,175.77,Credit card,8.9,10/14/2024,Monday
INV00032,A,Kolkata,Member,Female,Sports and travel,97.3,2,5,9.73,194.6,204.33,Cash,9.7,1/10/2025,Friday
INV00033,B,Chennai,Normal,Male,Home and lifestyle,47.02,8,18,67.71,376.16,443.87,Ewallet,4.8,11/19/2024,Tuesday
INV00034,B,Kolkata,Normal,Male,Sports and travel,13.38,5,5,3.35,66.9,70.25,Credit card,5.6,6/7/2025,Saturday
INV00035,A,Chennai,Normal,Male,Home and lifestyle,94.74,9,18,153.48,852.66,1006.14,Ewallet,8.7,3/6/2025,Thursday
INV00036,A,Pune,Normal,Male,Electronic accessories,70.12,3,18,37.86,210.36,248.22,Cash,4.5,4/15/2025,Tuesday
INV00037,B,Pune,Normal,Male,Sports and travel,98.74,6,5,29.62,592.44,622.06,Ewallet,8.2,6/16/2025,Monday
INV00038,B,Bangalore,Normal,Female,Health and beauty,41.44,7,12,34.81,290.08,324.89,Cash,7.6,10/15/2024,Tuesday
INV00039,A,Bangalore,Member,Male,Food and beverages,92.83,8,5,37.13,742.64,779.77,Ewallet,6.5,6/11/2025,Wednesday
INV00040,B,Hyderabad,Member,Female,Home and lifestyle,84.9,2,18,30.56,169.8,200.36,Credit card,5.6,6/2/2025,Monday
INV00041,B,Hyderabad,Normal,Female,Food and beverages,90.77,7,5,31.77,635.39,667.16,Credit card,4.1,9/29/2024,Sunday
INV00042,B,Ahmedabad,Normal,Male,Home and lifestyle,25.09,2,18,9.03,50.18,59.21,Ewallet,4.5,2/23/2025,Sunday
INV00043,C,Chennai,Normal,Male,Food and beverages,44.24,1,5,2.21,44.24,46.45,Credit card,7.7,2/13/2025,Thursday
INV00044,A,Hyderabad,Normal,Female,Sports and travel,15.77,3,5,2.37,47.31,49.68,Credit card,4.2,5/27/2025,Tuesday
INV00045,B,Pune,Normal,Male,Fashion accessories,31.7,5,12,19.02,158.5,177.52,Credit card,6.3,3/9/2025,Sunday
INV00046,B,Kolkata,Normal,Male,Health and beauty,40.67,9,12,43.92,366.03,409.95,Ewallet,8.3,10/9/2024,Wednesday
INV00047,A,Hyderabad,Member,Male,Fashion accessories,27.03,3,12,9.73,81.09,90.82,Ewallet,4.5,5/31/2025,Saturday
INV00048,C,Chennai,Normal,Male,Sports and travel,81.88,6,5,24.56,491.28,515.84,Credit card,9.3,9/8/2024,Sunday
INV00049,B,Kolkata,Member,Female,Fashion accessories,70.95,9,12,76.63,638.55,715.18,Ewallet,6.6,8/17/2024,Saturday
INV00050,A,Pune,Member,Male,Home and lifestyle,14.38,2,18,5.18,28.76,33.94,Credit card,6.7,1/19/2025,Sunday
INV00051,A,Delhi,Normal,Male,Health and beauty,67.16,4,12,32.24,268.64,300.88,Ewallet,8.3,1/12/2025,Sunday
INV00052,A,Pune,Member,Male,Fashion accessories,26.67,4,12,12.8,106.68,119.48,Ewallet,4.4,9/23/2024,Monday
INV00053,C,Hyderabad,Normal,Male,Health and beauty,73.22,2,12,17.57,146.44,164.01,Credit card,8.4,12/7/2024,Saturday
INV00054,C,Kolkata,Normal,Male,Electronic accessories,52.27,5,18,47.04,261.35,308.39,Cash,9.1,12/3/2024,Tuesday
INV00055,B,Delhi,Member,Male,Home and lifestyle,95.77,9,18,155.15,861.93,1017.08,Credit card,7.7,7/7/2025,Monday
INV00056,C,Hyderabad,Normal,Male,Electronic accessories,63.5,9,18,102.87,571.5,674.37,Credit card,8.8,6/21/2025,Saturday
INV00057,C,Mumbai,Member,Female,Health and beauty,27.19,1,12,3.26,27.19,30.45,Ewallet,9.8,5/22/2025,Thursday
INV00058,A,Kolkata,Member,Male,Food and beverages,48.87,5,5,12.22,244.35,256.57,Credit card,9.1,12/4/2024,Wednesday
INV00059,C,Delhi,Member,Female,Electronic accessories,57.51,3,18,31.06,172.53,203.59,Cash,5.7,12/4/2024,Wednesday
INV00060,A,Bangalore,Member,Male,Sports and travel,78.29,3,5,11.74,234.87,246.61,Credit card,7.2,8/21/2024,Wednesday
INV00061,A,Hyderabad,Normal,Female,Fashion accessories,31.68,5,12,19.01,158.4,177.41,Credit card,9.1,7/4/2025,Friday
INV00062,A,Ahmedabad,Normal,Male,Home and lifestyle,37.81,7,18,47.64,264.67,312.31,Cash,4.1,1/13/2025,Monday
INV00063,A,Chennai,Member,Female,Electronic accessories,13.36,4,18,9.62,53.44,63.06,Ewallet,6.9,9/8/2024,Sunday
INV00064,B,Mumbai,Member,Male,Sports and travel,50.3,6,5,15.09,301.8,316.89,Cash,5.7,12/2/2024,Monday
INV00065,C,Bangalore,Member,Female,Home and lifestyle,46.31,4,18,33.34,185.24,218.58,Ewallet,4.1,7/20/2025,Sunday
INV00066,C,Delhi,Normal,Male,Health and beauty,40.98,1,12,4.92,40.98,45.9,Ewallet,8.7,3/6/2025,Thursday
INV00067,B,Hyderabad,Member,Male,Fashion accessories,43.94,2,12,10.55,87.88,98.43,Cash,7.6,2/20/2025,Thursday
INV00068,A,Pune,Normal,Female,Sports and travel,46.12,8,5,18.45,368.96,387.41,Ewallet,6.0,6/13/2025,Friday
INV00069,C,Bangalore,Member,Female,Electronic accessories,72.08,8,18,103.8,576.64,680.44,Ewallet,7.0,8/6/2024,Tuesday
INV00070,C,Ahmedabad,Member,Female,Food and beverages,88.5,5,5,22.12,442.5,464.62,Ewallet,9.3,1/11/2025,Saturday
INV00071,A,Mumbai,Member,Male,Health and beauty,51.92,8,12,49.84,415.36,465.2,Credit card,8.3,2/28/2025,Friday
INV00072,C,Ahmedabad,Normal,Female,Electronic accessories,97.23,1,18,17.5,97.23,114.73,Cash,6.8,4/19/2025,Saturday
INV00073,C,Pune,Member,Male,Fashion accessories,99.81,7,12,83.84,698.67,782.51,Ewallet,8.0,1/24/2025,Friday
INV00074,C,Ahmedabad,Member,Male,Health and beauty,28.28,8,12,27.15,226.24,253.39,Ewallet,8.4,12/22/2024,Sunday
INV00075,A,Pune,Normal,Female,Fashion accessories,48.25,2,12,11.58,96.5,108.08,Ewallet,7.0,9/15/2024,Sunday
INV00076,B,Pune,Member,Female,Fashion accessories,59.44,2,12,14.27,118.88,133.15,Ewallet,9.3,4/25/2025,Friday
INV00077,A,Chennai,Member,Male,Electronic accessories,42.07,6,18,45.44,252.42,297.86,Credit card,6.8,8/20/2024,Tuesday
INV00078,A,Hyderabad,Member,Female,Home and lifestyle,24.99,3,18,13.49,74.97,88.46,Cash,4.2,11/27/2024,Wednesday
INV00079,B,Delhi,Member,Female,Home and lifestyle,77.75,5,18,69.97,388.75,458.72,Cash,7.1,8/11/2024,Sunday
INV00080,A,Mumbai,Member,Male,Sports and travel,61.18,5,5,15.3,305.9,321.2,Credit card,4.5,3/17/2025,Monday
INV00081,B,Bangalore,Member,Female,Home and lifestyle,28.42,9,18,46.04,255.78,301.82,Credit card,5.1,5/12/2025,Monday
INV00082,B,Kolkata,Member,Female,Health and beauty,54.86,9,12,59.25,493.74,552.99,Ewallet,9.0,12/14/2024,Saturday
INV00083,C,Bangalore,Member,Female,Home and lifestyle,10.97,1,18,1.97,10.97,12.94,Ewallet,6.0,10/27/2024,Sunday
INV00084,B,Hyderabad,Normal,Female,Electronic accessories,33.32,9,18,53.98,299.88,353.86,Credit card,9.9,3/30/2025,Sunday
INV00085,A,Mumbai,Normal,Male,Sports and travel,81.69,9,5,36.76,735.21,771.97,Credit card,4.6,11/13/2024,Wednesday
INV00086,A,Mumbai,Member,Female,Home and lifestyle,99.99,1,18,18.0,99.99,117.99,Credit card,7.2,5/20/2025,Tuesday
INV00087,A,Kolkata,Member,Female,Health and beauty,78.28,7,12,65.76,547.96,613.72,Cash,9.5,2/14/2025,Friday
INV00088,B,Mumbai,Member,Female,Health and beauty,43.14,3,12,15.53,129.42,144.95,Ewallet,5.9,2/27/2025,Thursday
INV00089,C,Hyderabad,Normal,Male,Electronic accessories,53.26,1,18,9.59,53.26,62.85,Credit card,10.0,12/21/2024,Saturday
INV00090,B,Ahmedabad,Member,Female,Health and beauty,34.3,1,12,4.12,34.3,38.42,Credit card,8.6,9/15/2024,Sunday
INV00091,C,Pune,Member,Male,Home and lifestyle,11.49,8,18,16.55,91.92,108.47,Ewallet,9.3,6/8/2025,Sunday
INV00092,B,Delhi,Normal,Male,Sports and travel,48.67,5,5,12.17,243.35,255.52,Ewallet,6.5,4/22/2025,Tuesday
INV00093,A,Bangalore,Normal,Female,Food and beverages,57.92,2,5,5.79,115.84,121.63,Credit card,4.8,5/8/2025,Thursday
INV00094,B,Ahmedabad,Normal,Female,Sports and travel,91.58,1,5,4.58,91.58,96.16,Cash,8.4,1/18/2025,Saturday
INV00095,B,Delhi,Member,Female,Home and lifestyle,50.41,4,18,36.3,201.64,237.94,Cash,4.9,9/28/2024,Saturday
INV00096,B,Kolkata,Member,Female,Food and beverages,25.94,2,5,2.59,51.88,54.47,Cash,6.2,9/13/2024,Friday
INV00097,A,Kolkata,Member,Female,Fashion accessories,91.31,9,12,98.61,821.79,920.4,Credit card,6.7,11/18/2024,Monday
INV00098,A,Mumbai,Normal,Male,Food and beverages,38.15,2,5,3.82,76.3,80.12,Credit card,5.2,4/30/2025,Wednesday
INV00099,B,Delhi,Normal,Female,Fashion accessories,56.28,3,12,20.26,168.84,189.1,Credit card,6.1,4/16/2025,Wednesday
INV00100,B,Kolkata,Normal,Male,Health and beauty,82.91,7,12,69.64,580.37,650.01,Credit card,5.0,9/25/2024,Wednesday
INV00101,C,Hyderabad,Normal,Female,Electronic accessories,33.3,5,18,29.97,166.5,196.47,Credit card,5.4,10/24/2024,Thursday
INV00102,C,Mumbai,Member,Male,Home and lifestyle,20.42,3,18,11.03,61.26,72.29,Ewallet,4.7,1/15/2025,Wednesday
INV00103,C,Delhi,Member,Male,Health and beauty,59.17,8,12,56.8,473.36,530.16,Credit card,5.7,3/16/2025,Sunday
INV00104,C,Ahmedabad,Normal,Male,Home and lifestyle,41.55,5,18,37.39,207.75,245.14,Cash,7.1,6/5/2025,Thursday
INV00105,B,Chennai,Member,Female,Home and lifestyle,34.07,8,18,49.06,272.56,321.62,Cash,6.7,8/6/2024,Tuesday
INV00106,A,Bangalore,Member,Female,Food and beverages,76.0,6,5,22.8,456.0,478.8,Cash,8.9,1/23/2025,Thursday
INV00107,B,Kolkata,Member,Male,Sports and travel,79.73,9,5,35.88,717.57,753.45,Credit card,6.6,9/22/2024,Sunday
INV00108,B,Bangalore,Normal,Male,Fashion accessories,18.81,5,12,11.29,94.05,105.34,Ewallet,8.6,4/29/2025,Tuesday
INV00109,C,Bangalore,Member,Male,Home and lifestyle,88.91,3,18,48.01,266.73,314.74,Cash,8.9,1/17/2025,Friday
INV00110,C,Chennai,Normal,Female,Home and lifestyle,58.67,5,18,52.8,293.35,346.15,Ewallet,7.3,10/2/2024,Wednesday
INV00111,A,Kolkata,Normal,Female,Electronic accessories,40.73,8,18,58.65,325.84,384.49,Credit card,4.6,5/7/2025,Wednesday
INV00112,B,Hyderabad,Normal,Female,Sports and travel,76.53,2,5,7.65,153.06,160.71,Cash,7.1,6/13/2025,Friday
INV00113,A,Bangalore,Normal,Male,Home and lifestyle,38.61,5,18,34.75,193.05,227.8,Credit card,6.0,6/24/2025,Tuesday
INV00114,A,Bangalore,Normal,Female,Fashion accessories,18.57,3,12,6.69,55.71,62.4,Ewallet,8.1,12/15/2024,Sunday
INV00115,B,Bangalore,Member,Female,Food and beverages,68.02,2,5,6.8,136.04,142.84,Cash,8.7,12/10/2024,Tuesday
INV00116,A,Delhi,Member,Female,Health and beauty,43.65,5,12,26.19,218.25,244.44,Cash,8.3,12/7/2024,Saturday
INV00117,C,Hyderabad,Normal,Female,Fashion accessories,62.49,8,12,59.99,499.92,559.91,Credit card,5.6,6/15/2025,Sunday
INV00118,C,Delhi,Normal,Male,Health and beauty,96.52,8,12,92.66,772.16,864.82,Cash,7.7,8/26/2024,Monday
INV00119,A,Hyderabad,Member,Male,Home and lifestyle,42.19,1,18,7.59,42.19,49.78,Cash,5.3,1/18/2025,Saturday
INV00120,C,Pune,Normal,Female,Electronic accessories,69.1,3,18,37.31,207.3,244.61,Credit card,7.4,5/1/2025,Thursday
INV00121,B,Bangalore,Normal,Male,Sports and travel,78.06,4,5,15.61,312.24,327.85,Credit card,7.4,1/11/2025,Saturday
INV00122,B,Kolkata,Member,Female,Home and lifestyle,74.66,6,18,80.63,447.96,528.59,Credit card,6.4,7/25/2025,Friday
INV00123,C,Ahmedabad,Normal,Male,Electronic accessories,29.22,5,18,26.3,146.1,172.4,Credit card,8.0,7/22/2025,Tuesday
INV00124,A,Kolkata,Normal,Male,Electronic accessories,31.77,8,18,45.75,254.16,299.91,Cash,10.0,8/29/2024,Thursday
INV00125,A,Kolkata,Normal,Female,Electronic accessories,13.71,4,18,9.87,54.84,64.71,Ewallet,8.4,5/13/2025,Tuesday
INV00126,A,Mumbai,Normal,Female,Sports and travel,45.28,3,5,6.79,135.84,142.63,Cash,5.3,6/23/2025,Monday
INV00127,A,Mumbai,Member,Male,Sports and travel,30.49,5,5,7.62,152.45,160.07,Credit card,9.1,2/24/2025,Monday
INV00128,A,Delhi,Normal,Female,Home and lifestyle,13.29,3,18,7.18,39.87,47.05,Credit card,8.6,2/18/2025,Tuesday
INV00129,B,Chennai,Member,Male,Health and beauty,29.7,1,12,3.56,29.7,33.26,Credit card,9.8,5/19/2025,Monday
INV00130,A,Hyderabad,Member,Female,Electronic accessories,15.13,8,18,21.79,121.04,142.83,Cash,5.2,7/19/2025,Saturday
INV00131,C,Ahmedabad,Normal,Male,Food and beverages,99.54,9,5,44.79,895.86,940.65,Ewallet,5.8,5/8/2025,Thursday
INV00132,A,Hyderabad,Member,Female,Food and beverages,22.11,4,5,4.42,88.44,92.86,Credit card,4.9,7/7/2025,Monday
INV00133,C,Delhi,Normal,Male,Food and beverages,88.22,1,5,4.41,88.22,92.63,Credit card,6.1,3/30/2025,Sunday
INV00134,C,Bangalore,Member,Male,Home and lifestyle,19.12,9,18,30.97,172.08,203.05,Cash,8.6,10/18/2024,Friday
INV00135,B,Hyderabad,Member,Male,Health and beauty,18.18,6,12,13.09,109.08,122.17,Ewallet,4.9,6/29/2025,Sunday
INV00136,B,Hyderabad,Member,Female,Food and beverages,43.5,2,5,4.35,87.0,91.35,Ewallet,9.9,11/29/2024,Friday
INV00137,C,Ahmedabad,Member,Male,Fashion accessories,15.13,1,12,1.82,15.13,16.95,Cash,4.1,5/9/2025,Friday
INV00138,A,Kolkata,Member,Male,Fashion accessories,40.67,8,12,39.04,325.36,364.4,Cash,5.0,8/5/2024,Monday
INV00139,A,Kolkata,Normal,Female,Sports and travel,61.3,1,5,3.06,61.3,64.36,Credit card,4.5,1/1/2025,Wednesday
INV00140,A,Pune,Normal,Male,Health and beauty,27.78,5,12,16.67,138.9,155.57,Credit card,8.8,5/13/2025,Tuesday
INV00141,C,Hyderabad,Normal,Male,Food and beverages,35.12,5,5,8.78,175.6,184.38,Credit card,9.8,2/24/2025,Monday
INV00142,B,Kolkata,Normal,Male,Sports and travel,30.2,1,5,1.51,30.2,31.71,Ewallet,5.4,2/23/2025,Sunday
INV00143,A,Pune,Member,Female,Health and beauty,98.23,6,12,70.73,589.38,660.11,Ewallet,8.1,7/25/2025,Friday
INV00144,A,Delhi,Normal,Male,Health and beauty,75.75,7,12,63.63,530.25,593.88,Cash,7.0,12/22/2024,Sunday
INV00145,A,Hyderabad,Member,Female,Home and lifestyle,45.06,9,18,73.0,405.54,478.54,Cash,4.4,11/14/2024,Thursday
INV00146,C,Ahmedabad,Member,Female,Home and lifestyle,21.86,9,18,35.41,196.74,232.15,Ewallet,6.0,9/3/2024,Tuesday
INV00147,B,Ahmedabad,Normal,Male,Health and beauty,35.65,7,12,29.95,249.55,279.5,Cash,8.6,9/21/2024,Saturday
INV00148,B,Pune,Normal,Male,Sports and travel,76.31,9,5,34.34,686.79,721.13,Credit card,9.8,10/16/2024,Wednesday
INV00149,C,Pune,Member,Male,Home and lifestyle,71.66,4,18,51.6,286.64,338.24,Credit card,8.0,12/2/2024,Monday
INV00150,A,Bangalore,Member,Male,Home and lifestyle,95.35,1,18,17.16,95.35,112.51,Credit card,4.7,4/13/2025,Sunday
INV00151,B,Chennai,Normal,Male,Sports and travel,52.22,2,5,5.22,104.44,109.66,Cash,9.4,9/2/2024,Monday
INV00152,B,Delhi,Member,Male,Sports and travel,14.19,7,5,4.97,99.33,104.3,Credit card,9.6,3/28/2025,Friday
INV00153,C,Bangalore,Member,Male,Electronic accessories,31.83,2,18,11.46,63.66,75.12,Ewallet,9.8,1/9/2025,Thursday
INV00154,C,Kolkata,Normal,Male,Food and beverages,97.24,6,5,29.17,583.44,612.61,Ewallet,4.4,9/29/2024,Sunday
INV00155,C,Kolkata,Member,Female,Electronic accessories,96.74,3,18,52.24,290.22,342.46,Cash,8.7,6/2/2025,Monday
INV00156,C,Ahmedabad,Member,Female,Electronic accessories,37.09,3,18,20.03,111.27,131.3,Credit card,5.6,4/25/2025,Friday
INV00157,B,Ahmedabad,Normal,Female,Electronic accessories,77.24,2,18,27.81,154.48,182.29,Ewallet,6.6,4/23/2025,Wednesday
INV00158,C,Pune,Normal,Male,Food and beverages,51.78,8,5,20.71,414.24,434.95,Credit card,7.9,1/13/2025,Monday
INV00159,C,Mumbai,Normal,Female,Food and beverages,43.88,7,5,15.36,307.16,322.52,Ewallet,4.7,11/8/2024,Friday
INV00160,C,Delhi,Member,Female,Health and beauty,30.74,5,12,18.44,153.7,172.14,Cash,5.8,1/21/2025,Tuesday
INV00161,A,Delhi,Normal,Male,Home and lifestyle,46.32,3,18,25.01,138.96,163.97,Ewallet,9.8,3/4/2025,Tuesday
INV00162,B,Chennai,Member,Female,Fashion accessories,70.17,5,12,42.1,350.85,392.95,Ewallet,7.3,1/21/2025,Tuesday
INV00163,A,Kolkata,Member,Female,Home and lifestyle,45.33,3,18,24.48,135.99,160.47,Cash,7.5,11/15/2024,Friday
INV00164,B,Hyderabad,Normal,Female,Fashion accessories,31.2,1,12,3.74,31.2,34.94,Credit card,6.2,9/25/2024,Wednesday
INV00165,B,Ahmedabad,Normal,Female,Sports and travel,11.17,1,5,0.56,11.17,11.73,Credit card,9.9,5/16/2025,Friday
INV00166,C,Bangalore,Normal,Male,Home and lifestyle,57.77,1,18,10.4,57.77,68.17,Cash,6.1,3/7/2025,Friday
INV00167,B,Kolkata,Normal,Male,Food and beverages,94.46,4,5,18.89,377.84,396.73,Ewallet,5.7,6/14/2025,Saturday
INV00168,C,Kolkata,Member,Female,Electronic accessories,63.9,6,18,69.01,383.4,452.41,Ewallet,7.7,11/26/2024,Tuesday
INV00169,B,Delhi,Normal,Male,Fashion accessories,92.24,5,12,55.34,461.2,516.54,Credit card,8.8,8/3/2024,Saturday
INV00170,A,Mumbai,Member,Female,Fashion accessories,35.8,5,12,21.48,179.0,200.48,Credit card,5.1,9/28/2024,Saturday
INV00171,C,Delhi,Normal,Female,Electronic accessories,92.11,3,18,49.74,276.33,326.07,Cash,6.9,12/21/2024,Saturday
INV00172,C,Mumbai,Normal,Male,Health and beauty,44.54,4,12,21.38,178.16,199.54,Cash,6.7,9/4/2024,Wednesday
INV00173,A,Pune,Normal,Male,Electronic accessories,36.45,9,18,59.05,328.05,387.1,Ewallet,9.2,6/21/2025,Saturday
INV00174,B,Pune,Normal,Male,Health and beauty,84.65,4,12,40.63,338.6,379.23,Ewallet,4.1,9/1/2024,Sunday
INV00175,A,Pune,Member,Male,Health and beauty,39.12,1,12,4.69,39.12,43.81,Cash,5.4,8/18/2024,Sunday
INV00176,A,Kolkata,Member,Female,Electronic accessories,79.28,5,18,71.35,396.4,467.75,Cash,9.6,5/2/2025,Friday
INV00177,C,Chennai,Normal,Male,Health and beauty,87.13,6,12,62.73,522.78,585.51,Cash,7.0,11/4/2024,Monday
INV00178,A,Ahmedabad,Member,Male,Fashion accessories,34.17,6,12,24.6,205.02,229.62,Cash,8.6,4/7/2025,Monday
INV00179,B,Hyderabad,Normal,Female,Health and beauty,70.09,3,12,25.23,210.27,235.5,Credit card,5.7,8/13/2024,Tuesday
INV00180,A,Mumbai,Member,Female,Electronic accessories,43.77,1,18,7.88,43.77,51.65,Ewallet,8.9,6/22/2025,Sunday
INV00181,C,Chennai,Normal,Male,Health and beauty,84.62,8,12,81.24,676.96,758.2,Cash,7.0,3/13/2025,Thursday
INV00182,B,Chennai,Member,Female,Sports and travel,33.75,8,5,13.5,270.0,283.5,Credit card,8.7,8/5/2024,Monday
INV00183,A,Mumbai,Normal,Female,Fashion accessories,57.57,6,12,41.45,345.42,386.87,Cash,9.4,1/26/2025,Sunday
INV00184,A,Chennai,Member,Female,Sports and travel,69.86,2,5,6.99,139.72,146.71,Ewallet,8.4,1/21/2025,Tuesday
INV00185,A,Chennai,Member,Female,Food and beverages,55.37,7,5,19.38,387.59,406.97,Credit card,8.2,5/15/2025,Thursday
INV00186,B,Delhi,Member,Male,Fashion accessories,69.57,5,12,41.74,347.85,389.59,Credit card,5.8,4/2/2025,Wednesday
INV00187,A,Bangalore,Member,Female,Health and beauty,45.31,8,12,43.5,362.48,405.98,Cash,6.9,4/14/2025,Monday
INV00188,A,Delhi,Member,Female,Fashion accessories,49.06,3,12,17.66,147.18,164.84,Ewallet,8.9,9/5/2024,Thursday
INV00189,A,Ahmedabad,Normal,Female,Fashion accessories,96.65,2,12,23.2,193.3,216.5,Credit card,6.0,7/9/2025,Wednesday
INV00190,B,Pune,Member,Male,Food and beverages,65.98,8,5,26.39,527.84,554.23,Ewallet,9.6,12/27/2024,Friday
INV00191,B,Hyderabad,Normal,Male,Food and beverages,56.2,7,5,19.67,393.4,413.07,Ewallet,6.3,11/27/2024,Wednesday
INV00192,C,Pune,Member,Female,Electronic accessories,14.03,3,18,7.58,42.09,49.67,Cash,8.0,9/4/2024,Wednesday
INV00193,A,Ahmedabad,Normal,Male,Fashion accessories,36.38,7,12,30.56,254.66,285.22,Ewallet,7.6,7/14/2025,Monday
INV00194,B,Bangalore,Member,Male,Fashion accessories,78.79,1,12,9.45,78.79,88.24,Cash,5.7,1/26/2025,Sunday
INV00195,A,Pune,Normal,Female,Food and beverages,48.56,6,5,14.57,291.36,305.93,Cash,8.0,7/28/2025,Monday
INV00196,B,Ahmedabad,Normal,Male,Sports and travel,96.53,9,5,43.44,868.77,912.21,Cash,7.0,5/25/2025,Sunday
INV00197,C,Kolkata,Normal,Female,Home and lifestyle,11.7,6,18,12.64,70.2,82.84,Credit card,6.3,6/24/2025,Tuesday
INV00198,B,Pune,Normal,Female,Health and beauty,89.55,7,12,75.22,626.85,702.07,Cash,8.3,11/23/2024,Saturday
INV00199,C,Ahmedabad,Normal,Female,Electronic accessories,23.72,4,18,17.08,94.88,111.96,Ewallet,4.7,7/2/2025,Wednesday
INV00200,B,Ahmedabad,Normal,Male,Sports and travel,91.07,4,5,18.21,364.28,382.49,Cash,4.1,11/26/2024,Tuesday
INV00201,A,Delhi,Normal,Female,Electronic accessories,46.91,2,18,16.89,93.82,110.71,Ewallet,4.5,4/30/2025,Wednesday
INV00202,B,Mumbai,Member,Female,Fashion accessories,88.28,2,12,21.19,176.56,197.75,Credit card,4.3,4/26/2025,Saturday
INV00203,B,Kolkata,Member,Female,Fashion accessories,96.84,2,12,23.24,193.68,216.92,Ewallet,9.0,7/23/2025,Wednesday
